city_id,city,country,date,latitude,longitude,max_temp,humidity,clouds,wind
0,Iqaluit,CA,2022-06-04 18:26:18,63.7506,-68.5145,47.93,61,20,3.44
1,Cape Town,ZA,2022-06-04 18:26:18,-33.9258,18.4232,62.11,85,20,13.8
2,Husavik,IS,2022-06-04 18:35:23,66.0449,-17.3389,45.09,64,4,4.5
3,Punta Arenas,CL,2022-06-04 18:26:19,-53.15,-70.9167,41.11,65,40,21.85
4,Ushuaia,AR,2022-06-04 18:35:24,-54.8,-68.3,38.82,65,20,2.3
5,Kapaa,US,2022-06-04 18:35:25,22.0752,-159.319,76.98,86,20,8.05
6,Thompson,CA,2022-06-04 18:26:21,55.7435,-97.8558,44.76,76,100,5.75
7,Butaritari,KI,2022-06-04 18:35:26,3.0707,172.7902,80.74,70,75,9.08
8,Rikitea,PF,2022-06-04 18:35:26,-23.1203,-134.9692,75.67,74,100,9.69
9,Comodoro Rivadavia,AR,2022-06-04 18:26:22,-45.8667,-67.5,53.46,35,0,11.5
10,Arani,IN,2022-06-04 18:26:22,12.6667,79.2833,86.14,54,78,4.36
11,East London,ZA,2022-06-04 18:24:42,-33.0153,27.9116,58.14,88,0,11.5
12,Muzhi,RU,2022-06-04 18:26:23,65.3667,64.6667,41.14,38,19,8.55
13,Bom Jesus Da Lapa,BR,2022-06-04 18:26:24,-13.255,-43.4181,91.89,21,56,12.86
14,Dikson,RU,2022-06-04 18:26:24,73.5069,80.5464,26.44,94,16,6.4
15,Lebu,CL,2022-06-04 18:26:12,-37.6167,-73.65,51.28,96,100,10.07
16,Atuona,PF,2022-06-04 18:26:25,-9.8,-139.0333,78.1,76,19,18.1
17,San Patricio,US,2022-06-04 18:26:26,28.017,-97.5169,92.16,43,26,7.02
18,Waddan,LY,2022-06-04 18:26:26,29.1614,16.139,87.71,20,0,9.37
19,Puerto Ayora,EC,2022-06-04 18:26:27,-0.7393,-90.3518,80.56,82,82,9.8
20,Saskylakh,RU,2022-06-04 18:26:28,71.9167,114.0833,32.77,94,100,10.31
21,Victoria,HK,2022-06-04 18:21:40,22.2855,114.1577,85.17,82,100,13.0
22,Yellowknife,CA,2022-06-04 18:24:12,62.456,-114.3525,70.32,30,20,10.36
23,Makakilo City,US,2022-06-04 18:26:29,21.3469,-158.0858,79.12,61,0,9.22
24,Yerbogachen,RU,2022-06-04 18:26:30,61.2767,108.0108,46.45,52,96,1.16
25,Christchurch,NZ,2022-06-04 18:22:42,-43.5333,172.6333,50.92,85,92,11.5
26,Moron,AR,2022-06-04 18:26:31,-34.6534,-58.6198,62.01,68,100,6.96
27,San Andres,CO,2022-06-04 18:24:21,12.5847,-81.7006,86.02,74,40,5.75
28,Saint George,US,2022-06-04 18:23:32,37.1041,-113.5841,91.44,13,0,8.05
29,Timmins,CA,2022-06-04 18:26:32,48.4669,-81.3331,49.82,81,100,6.91
30,Albany,US,2022-06-04 18:23:42,42.6001,-73.9662,78.64,44,17,13.35
31,Nikolskoye,RU,2022-06-04 18:24:49,59.7035,30.7861,57.78,95,83,4.88
32,Kuching,MY,2022-06-04 18:26:33,1.55,110.3333,77.22,94,40,1.14
33,Alta Floresta,BR,2022-06-04 18:26:33,-9.8756,-56.0861,96.62,30,40,9.22
34,Cravo Norte,CO,2022-06-04 18:26:34,6.3017,-70.2041,72.18,98,100,3.31
35,Margate,GB,2022-06-04 18:26:35,51.3813,1.3862,57.11,82,31,8.01
36,Bluff,NZ,2022-06-04 18:24:51,-46.6,168.3333,34.81,73,99,7.81
37,Hamilton,US,2022-06-04 18:26:33,39.1834,-84.5333,83.5,37,0,4.61
38,Savonlinna,FI,2022-06-04 18:26:36,61.8699,28.88,55.45,88,0,5.75
39,Gweta,BW,2022-06-04 18:26:37,-20.1833,25.2333,62.76,42,1,4.0
40,Kodiak,US,2022-06-04 18:26:37,57.79,-152.4072,72.91,23,0,11.5
41,Longyearbyen,SJ,2022-06-04 18:26:38,78.2186,15.6401,42.64,70,75,13.8
42,Mataura,NZ,2022-06-04 18:24:48,-46.1927,168.8643,34.48,82,97,3.51
43,Umm Lajj,SA,2022-06-04 18:26:39,25.0213,37.2685,85.48,56,54,7.02
44,Pavlohrad,UA,2022-06-04 18:26:39,48.5167,35.8667,66.94,77,98,7.61
45,Busselton,AU,2022-06-04 18:26:40,-33.65,115.3333,56.41,79,67,7.31
46,Georgetown,MY,2022-06-04 18:32:55,5.4112,100.3354,82.33,87,40,2.3
47,Balkanabat,TM,2022-06-04 18:36:39,39.5108,54.3671,86.92,17,0,4.63
48,Mnogovershinnyy,RU,2022-06-04 18:36:40,53.9353,139.9242,43.99,65,10,3.53
49,Hobyo,SO,2022-06-04 18:36:40,5.3505,48.5268,78.06,87,42,24.14
50,Chokurdakh,RU,2022-06-04 18:36:41,70.6333,147.9167,44.29,47,100,12.12
51,Coihaique,CL,2022-06-04 18:33:22,-45.5752,-72.0662,46.35,57,20,8.05
52,Manuk Mangkaw,PH,2022-06-04 18:36:42,4.8,119.85,82.76,68,57,0.92
53,Salalah,OM,2022-06-04 18:36:43,17.0151,54.0924,84.29,74,40,4.61
54,Moranbah,AU,2022-06-04 18:36:43,-22.0016,148.0466,63.12,87,6,5.97
55,Arraial Do Cabo,BR,2022-06-04 18:36:44,-22.9661,-42.0278,71.56,56,75,8.05
56,Saldanha,ZA,2022-06-04 18:36:44,-33.0117,17.9442,57.25,89,100,12.44
57,Eldorado,BR,2022-06-04 18:36:45,-23.7869,-54.2836,70.54,71,98,8.5
58,Verkhnevilyuysk,RU,2022-06-04 18:36:45,63.4453,120.3167,49.93,77,99,3.78
59,Vao,NC,2022-06-04 18:36:46,-22.6667,167.4833,72.97,70,100,9.71
60,Vaini,TO,2022-06-04 18:36:46,-21.2,-175.2,68.16,100,40,4.61
61,Inverell,AU,2022-06-04 18:36:47,-29.7833,151.1167,40.66,95,72,3.47
62,Lagoa,PT,2022-06-04 18:36:47,39.05,-27.9833,64.6,89,92,25.55
63,Ponta Delgada,PT,2022-06-04 18:36:48,37.7333,-25.6667,71.51,94,75,8.05
64,Eureka,US,2022-06-04 18:36:48,40.8021,-124.1637,65.59,92,100,6.51
65,Qaanaaq,GL,2022-06-04 18:36:49,77.484,-69.3632,28.94,76,99,4.47
66,San-Pedro,CI,2022-06-04 18:36:49,4.7485,-6.6363,77.88,86,91,6.76
67,Moses Lake,US,2022-06-04 18:36:50,47.1301,-119.2781,59.36,67,75,13.8
68,Bredasdorp,ZA,2022-06-04 18:36:50,-34.5322,20.0403,57.99,89,100,3.98
69,Kargopol,RU,2022-06-04 18:36:51,61.5071,38.9456,50.65,95,100,4.74
70,Severo-Kurilsk,RU,2022-06-04 18:36:51,50.6789,156.125,42.17,90,90,4.79
71,Khatanga,RU,2022-06-04 18:36:52,71.9667,102.5,26.92,90,100,14.65
72,Souillac,MU,2022-06-04 18:36:52,-20.5167,57.5167,73.78,73,40,14.97
73,Tura,IN,2022-06-04 18:36:53,25.5198,90.2201,72.99,96,97,3.89
74,Rocha,UY,2022-06-04 18:36:53,-34.4833,-54.3333,56.62,69,100,7.67
75,Marsa Matruh,EG,2022-06-04 18:36:54,31.3525,27.2453,75.4,69,0,6.91
76,Debre Sina,ET,2022-06-04 18:36:54,9.85,39.7667,58.21,53,88,2.89
77,Flin Flon,CA,2022-06-04 18:36:55,54.7682,-101.865,51.64,66,75,8.05
78,Castro,BR,2022-06-04 18:36:55,-24.7911,-50.0119,58.3,78,14,7.29
79,Santa Cruz Cabralia,BR,2022-06-04 18:36:56,-16.2781,-39.0247,75.43,83,75,11.5
80,Hilo,US,2022-06-04 18:36:52,19.7297,-155.09,85.28,94,100,3.0
81,Jamestown,US,2022-06-04 18:36:57,42.097,-79.2353,65.95,24,0,6.91
82,Ribeira Grande,PT,2022-06-04 18:36:57,38.5167,-28.7,66.6,94,75,20.71
83,Bethel,US,2022-06-04 18:36:58,41.3712,-73.414,84.29,39,0,10.36
84,Turan,VN,2022-06-04 18:32:53,16.0678,108.2208,80.58,83,20,1.14
85,Ciudad Bolivar,VE,2022-06-04 18:36:59,8.1222,-63.5497,90.57,47,82,9.19
86,Coquimbo,CL,2022-06-04 18:36:59,-29.9533,-71.3436,62.33,44,0,3.44
87,Metro,ID,2022-06-04 18:37:00,-5.1131,105.3067,73.71,92,46,4.25
88,Carnarvon,AU,2022-06-04 18:37:00,-24.8667,113.6333,68.25,39,100,11.74
89,Cidreira,BR,2022-06-04 18:37:01,-30.1811,-50.2056,62.22,75,6,17.22
90,Kaitangata,NZ,2022-06-04 18:37:01,-46.2817,169.8464,39.52,79,100,6.67
91,Jesus Carranza,MX,2022-06-04 18:37:02,17.4333,-95.0333,88.7,51,29,4.41
92,San Juan Del Sur,NI,2022-06-04 18:37:03,11.2529,-85.8705,82.62,78,75,4.61
93,Yurimaguas,PE,2022-06-04 18:37:03,-5.9,-76.0833,80.76,74,40,0.0
94,Bereda,ES,2022-06-04 18:38:04,43.2686,-7.5406,62.42,98,46,2.71
95,Alugan,PH,2022-06-04 18:38:04,12.2188,125.4808,79.79,80,100,1.3
96,Itarema,BR,2022-06-04 18:38:05,-2.9248,-39.9167,81.14,76,28,6.87
97,Tabuk,PH,2022-06-04 18:38:05,17.4189,121.4443,74.39,89,100,2.01
98,Inhambane,MZ,2022-06-04 18:38:06,-23.865,35.3833,67.96,77,6,6.87
99,Norman Wells,CA,2022-06-04 18:38:06,65.282,-126.8329,46.44,71,75,4.61
100,College,US,2022-06-04 18:38:07,64.8569,-147.8028,71.01,42,75,12.66
101,Banihal,IN,2022-06-04 18:38:07,33.4167,75.2,74.84,43,5,3.76
102,Port Alfred,ZA,2022-06-04 18:38:08,-33.5906,26.891,57.18,89,99,4.0
103,Mar Del Plata,AR,2022-06-04 18:38:08,-38.0023,-57.5575,57.22,67,20,12.66
104,Ostrovnoy,RU,2022-06-04 18:38:09,68.0531,39.5131,54.0,71,51,9.33
105,Geraldton,AU,2022-06-04 18:38:09,-28.7667,114.6,52.21,62,100,9.22
106,Isangel,VU,2022-06-04 18:38:10,-19.55,169.2667,73.51,83,28,8.05
107,Saint-Philippe,RE,2022-06-04 18:38:10,-21.3585,55.7679,74.79,78,40,14.79
108,Aklavik,CA,2022-06-04 18:38:11,68.2191,-135.0107,33.8,86,100,6.91
109,Hithadhoo,MV,2022-06-04 18:38:11,-0.6,73.0833,83.8,69,100,8.99
110,Palmer,US,2022-06-04 18:38:12,42.1584,-72.3287,82.62,40,75,12.66
111,Hubli,IN,2022-06-04 18:38:12,15.35,75.1667,77.36,75,99,6.33
112,Haines Junction,CA,2022-06-04 18:38:13,60.7522,-137.5108,67.95,37,55,1.14
113,Kuah,MY,2022-06-04 18:38:13,6.3265,99.8432,80.58,83,20,1.14
114,Poum,NC,2022-06-04 18:38:14,-20.2333,164.0167,75.04,76,80,12.46
115,Pacific Grove,US,2022-06-04 18:38:14,36.6177,-121.9166,69.48,81,20,5.99
116,Muisne,EC,2022-06-04 18:38:15,0.6,-80.0333,77.29,85,95,11.21
117,Hobart,AU,2022-06-04 18:38:16,-42.8794,147.3294,43.27,90,40,3.44
118,Port Elizabeth,ZA,2022-06-04 18:34:11,-33.918,25.5701,61.32,83,0,13.8
119,Chimbote,PE,2022-06-04 18:38:16,-9.0853,-78.5783,69.67,73,94,9.93
120,Terneuzen,NL,2022-06-04 18:38:17,51.2809,3.8392,76.01,60,100,5.99
121,Barcelona,ES,2022-06-04 18:37:06,41.3888,2.159,82.18,68,0,6.91
122,Calabazar De Sagua,CU,2022-06-04 18:38:18,22.6447,-79.8961,81.07,83,75,10.36
123,Nabire,ID,2022-06-04 18:38:18,-3.3667,135.4833,73.65,93,100,3.6
124,Xuddur,SO,2022-06-04 18:38:19,4.1213,43.8894,76.66,66,74,16.64
125,La Rioja,ES,2022-06-04 18:34:52,42.25,-2.5,67.78,73,77,4.45
126,Mount Gambier,AU,2022-06-04 18:38:19,-37.8333,140.7667,48.29,70,100,15.3
127,Buala,SB,2022-06-04 18:38:20,-8.145,159.5921,80.17,81,84,7.0
128,Ayagoz,KZ,2022-06-04 18:38:20,47.9714,80.4392,52.39,81,15,6.6
129,Clyde River,CA,2022-06-04 18:38:21,70.4692,-68.5914,32.23,86,100,9.22
130,Bathsheba,BB,2022-06-04 18:38:22,13.2167,-59.5167,88.41,66,40,23.02
131,Ponta Do Sol,PT,2022-06-04 18:38:23,32.6667,-17.1,69.71,75,20,2.46
132,Itoman,JP,2022-06-04 18:38:23,26.1247,127.6694,79.57,100,75,8.05
133,Codrington,AU,2022-06-04 18:38:24,-38.2667,141.9667,48.61,76,100,18.25
134,La Romana,DO,2022-06-04 18:38:24,18.4273,-68.9728,88.16,74,20,17.27
135,Bibiani,GH,2022-06-04 18:38:25,6.4635,-2.3194,74.62,94,100,3.22
136,Naraina,IN,2022-06-04 18:38:25,26.7833,75.2,91.65,14,0,15.1
137,Koungou,YT,2022-06-04 18:38:26,-12.7336,45.2042,78.51,73,0,9.22
138,Namibe,AO,2022-06-04 18:38:26,-15.1961,12.1522,75.4,53,32,9.51
139,Ivdel,RU,2022-06-04 18:38:27,60.6911,60.4206,43.9,70,5,2.8
140,Broome,US,2022-06-04 18:38:27,42.2506,-75.833,74.98,36,0,14.97
141,Kampot,KH,2022-06-04 18:39:28,10.6167,104.1833,77.05,79,100,4.27
142,Linjiang,CN,2022-06-04 18:39:29,41.8069,126.9078,56.39,99,100,3.44
143,Karratha,AU,2022-06-04 18:39:29,-20.7377,116.8463,68.49,54,0,9.22
144,Polunochnoye,RU,2022-06-04 18:39:30,60.8697,60.4153,42.15,67,6,3.0
145,Acapulco,MX,2022-06-04 18:39:30,16.8634,-99.8901,85.82,66,20,5.75
146,Saint-Leu,RE,2022-06-04 18:39:31,-21.15,55.2833,74.26,70,33,7.09
147,Sept-Iles,CA,2022-06-04 18:34:51,50.2001,-66.3821,54.12,64,75,6.91
148,Fukue,JP,2022-06-04 18:39:31,32.6881,128.8419,70.14,85,100,19.13
149,Tuktoyaktuk,CA,2022-06-04 18:39:32,69.4541,-133.0374,28.4,80,100,10.36
150,Mitsamiouli,KM,2022-06-04 18:39:32,-11.3847,43.2844,78.8,72,6,8.1
151,Fortuna,US,2022-06-04 18:39:33,40.5982,-124.1573,65.32,55,40,20.71
152,Vila Franca Do Campo,PT,2022-06-04 18:39:33,37.7167,-25.4333,71.2,93,100,10.22
153,Broken Hill,AU,2022-06-04 18:39:34,-31.95,141.4333,50.97,70,100,21.54
154,Los Llanos De Aridane,ES,2022-06-04 18:39:35,28.6585,-17.9182,67.75,74,75,14.97
155,Bambanglipuro,ID,2022-06-04 18:39:35,-7.95,110.2833,74.88,96,97,4.0
156,Colac,AU,2022-06-04 18:39:36,-38.3333,143.5833,47.17,89,100,16.15
157,Villarrubia De Los Ojos,ES,2022-06-04 18:39:36,39.2209,-3.608,76.93,28,2,8.95
158,Aksarka,RU,2022-06-04 18:39:37,66.5606,67.7975,35.96,52,6,13.69
159,Nanortalik,GL,2022-06-04 18:39:37,60.1432,-45.2371,46.35,53,60,3.22
160,Kihei,US,2022-06-04 18:39:38,20.785,-156.4656,78.96,74,40,11.5
161,Bengkulu,ID,2022-06-04 18:39:38,-3.8004,102.2655,75.47,89,100,4.07
162,Vila,PT,2022-06-04 18:39:39,42.0304,-8.1588,59.7,76,31,3.0
163,Half Moon Bay,US,2022-06-04 18:39:39,37.4636,-122.4286,72.05,62,100,6.91
164,Kapoeta,SS,2022-06-04 18:39:40,4.7717,33.5903,80.24,38,47,11.23
165,Bodden Town,KY,2022-06-04 18:39:40,19.2833,-81.25,87.01,77,20,12.66
166,Kabinda,CD,2022-06-04 18:39:41,-6.1333,24.4833,71.83,53,6,4.99
167,Okhotsk,RU,2022-06-04 18:39:41,59.3833,143.3,45.84,78,64,2.68
168,Whitianga,NZ,2022-06-04 18:39:42,-36.8333,175.7,58.14,77,100,11.68
169,Manado,ID,2022-06-04 18:39:42,1.487,124.8455,74.17,94,20,1.14
170,Ukiah,US,2022-06-04 18:39:43,39.1502,-123.2078,69.44,52,100,6.91
171,Seoul,KR,2022-06-04 18:39:36,37.5683,126.9778,73.0,56,0,8.05
172,Beloha,MG,2022-06-04 18:39:43,-25.1667,45.05,66.52,81,7,13.18
173,Chuy,UY,2022-06-04 18:39:44,-33.6971,-53.4616,58.42,66,100,10.92
174,Pitimbu,BR,2022-06-04 18:39:44,-7.4706,-34.8086,77.59,77,80,10.27
175,Bambous Virieux,MU,2022-06-04 18:39:45,-20.3428,57.7575,74.21,73,40,14.97
176,Flinders,AU,2022-06-04 18:39:46,-34.5833,150.8552,58.37,61,4,5.99
177,Port Hardy,CA,2022-06-04 18:39:46,50.6996,-127.4199,57.38,77,75,10.36
178,Tiznit,MA,2022-06-04 18:39:47,29.5833,-9.5,63.57,75,11,6.55
179,Lorengau,PG,2022-06-04 18:39:47,-2.0226,147.2712,79.93,73,87,6.02
180,Poso,ID,2022-06-04 18:39:48,-1.3959,120.7524,76.1,83,98,3.78
181,Tasiilaq,GL,2022-06-04 18:39:48,65.6145,-37.6368,39.36,66,84,8.68
182,Rio Gallegos,AR,2022-06-04 18:39:49,-51.6226,-69.2181,39.16,60,43,9.84
183,Storsteinnes,NO,2022-06-04 18:39:49,69.2408,19.2344,52.45,62,100,5.17
184,Mandalgovi,MN,2022-06-04 18:39:50,45.7625,106.2708,48.85,43,0,11.41
185,Nuuk,GL,2022-06-04 18:39:50,64.1835,-51.7216,59.61,26,0,5.75
186,Provideniya,RU,2022-06-04 18:39:51,64.3833,-173.3,50.47,52,57,4.32
187,Lalmohan,BD,2022-06-04 18:39:52,22.3384,90.7419,83.25,84,100,14.45
188,Northam,GB,2022-06-04 18:40:52,51.0333,-4.2167,62.62,75,100,11.7
189,Deputatskiy,RU,2022-06-04 18:40:53,69.3,139.9,45.97,80,69,4.14
190,New Norfolk,AU,2022-06-04 18:40:53,-42.7826,147.0587,42.93,82,100,1.41
191,Vardo,NO,2022-06-04 18:40:54,70.3705,31.1107,44.58,100,100,12.66
192,Abong Mbang,CM,2022-06-04 18:40:55,3.9833,13.1833,67.87,98,100,5.95
193,Tiksi,RU,2022-06-04 18:40:55,71.6872,128.8694,49.28,77,100,9.1
194,Bahir Dar,ET,2022-06-04 18:40:56,11.5936,37.3908,65.5,67,67,6.62
195,Virginia Beach,US,2022-06-04 18:39:21,36.8529,-75.978,85.05,47,20,8.05
